Formula,Fractional Enrichment,Fractional Enrichment with zero,Label,Name,Sample,Truth Value_x,Intensity,Unlabeled Fragment,Indistinguishale_isotope,NA Corrected,NA Corrected with zero,Pool_total,Truth Value_y
C10H15N5O10P2,0.0034,0.0034,C13-label-3,ADP,091215_240i,False,218.5099,ADP,{},209.238673076,209.238673076,60814.1278886,False
C10H15N5O10P2,0.0012,0.0012,C13-label-3,ADP,091215_15M,False,189.5451,ADP,{},117.234551305,117.234551305,96192.29878,False
C10H15N5O10P2,0.0078,0.0078,C13-label-3,ADP,091215_120M,False,304.3482,ADP,{},323.497175007,323.497175007,41231.0085178,False
C10H15N5O10P2,0.0001,0.0001,C13-label-3,ADP,091215_3i,False,108.107,ADP,{},17.5772854702,17.5772854702,127167.007536,False
C10H15N5O10P2,0.0,0.0,C13-label-3,ADP,091215_1M,False,0.0,ADP,{},-83.7951686477,0.0,78287.9792728,True
C10H15N5O10P2,0.0018,0.0018,C13-label-3,ADP,091215_45i,False,273.4831,ADP,{},224.842969646,224.842969646,125202.79002,False
C10H15N5O10P2,0.0,0.0,C13-label-3,ADP,091215_3M,False,176.2176,ADP,{},-5.3471682812,0.0,223871.971567,True
C10H15N5O10P2,0.0013,0.0013,C13-label-3,ADP,091215_1i,False,186.017,ADP,{},119.620226384,119.620226384,91674.353709,False
C10H15N5O10P2,0.0002,0.0002,C13-label-3,ADP,091215_45M,False,130.4294,ADP,{},21.8589736176,21.8589736176,99417.7860969,False
C10H15N5O10P2,0.0026,0.0026,C13-label-3,ADP,091215_0i,False,314.945,ADP,{},243.542235025,243.542235025,92841.1462573,False
C10H15N5O10P2,0.0044,0.0044,C13-label-3,ADP,091215_0M,False,360.9553,ADP,{},336.156121551,336.156121551,76500.3248155,False
C10H15N5O10P2,0.0114,0.0114,C13-label-2,ADP,091215_5i,False,1282.896,ADP,{},1071.54663855,1071.54663855,94134.6080651,False
C10H15N5O10P2,0.0102,0.0102,C13-label-2,ADP,091215_120i,False,906.6877,ADP,{},754.141412106,754.141412106,74211.6051908,False
C10H15N5O10P2,0.0079,0.0079,C13-label-2,ADP,091215_5M,False,1054.566,ADP,{},728.737710021,728.737710021,92674.8205686,False
